Class,Subject,Chapter,Title,Resource Types,DIKSHA,YouTube,NCERT,GeoGebra,PhET
7,Social Science,107,The Gupta Era: An Age of Tireless Creativity,video; image; document/reading; quiz; worksheet; audio/read-aloud; map; timeline; historical/geographical-visual,https://diksha.gov.in/search?query=NCERT+Class+7+Social+Science+The+Gupta+Era%3A+An+Age+of+Tireless+Creativity,https://www.youtube.com/results?search_query=Class+7+Social+Science+The+Gupta+Era%3A+An+Age+of+Tireless+Creativity+explanation,https://ncert.nic.in/textbook.php,,
7,Social Science,108,How the Land Becomes Sacred,video; image; document/reading; quiz; worksheet; audio/read-aloud; map; timeline; historical/geographical-visual,https://diksha.gov.in/search?query=NCERT+Class+7+Social+Science+How+the+Land+Becomes+Sacred,https://www.youtube.com/results?search_query=Class+7+Social+Science+How+the+Land+Becomes+Sacred+explanation,https://ncert.nic.in/textbook.php,,
7,Social Science,109,From the Rulers to the Ruled: Types of Governments,video; image; document/reading; quiz; worksheet; audio/read-aloud; map; timeline; historical/geographical-visual,https://diksha.gov.in/search?query=NCERT+Class+7+Social+Science+From+the+Rulers+to+the+Ruled%3A+Types+of+Governments,https://www.youtube.com/results?search_query=Class+7+Social+Science+From+the+Rulers+to+the+Ruled%3A+Types+of+Governments+explanation,https://ncert.nic.in/textbook.php,,
7,Social Science,110,The Constitution of India — An Introduction,video; image; document/reading; quiz; worksheet; audio/read-aloud; map; timeline; historical/geographical-visual; map/atlas,https://diksha.gov.in/search?query=NCERT+Class+7+Social+Science+The+Constitution+of+India+%E2%80%94+An+Introduction,https://www.youtube.com/results?search_query=Class+7+Social+Science+The+Constitution+of+India+%E2%80%94+An+Introduction+explanation,https://ncert.nic.in/textbook.php,,
7,Social Science,111,From Barter to Money,video; image; document/reading; quiz; worksheet; audio/read-aloud; map; timeline; historical/geographical-visual,https://diksha.gov.in/search?query=NCERT+Class+7+Social+Science+From+Barter+to+Money,https://www.youtube.com/results?search_query=Class+7+Social+Science+From+Barter+to+Money+explanation,https://ncert.nic.in/textbook.php,,
7,Social Science,112,Understanding Markets,video; image; document/reading; quiz; worksheet; audio/read-aloud; map; timeline; historical/geographical-visual,https://diksha.gov.in/search?query=NCERT+Class+7+Social+Science+Understanding+Markets,https://www.youtube.com/results?search_query=Class+7+Social+Science+Understanding+Markets+explanation,https://ncert.nic.in/textbook.php,,
7,Social Science,201,The Story of Indian Farming,video; image; document/reading; quiz; worksheet; audio/read-aloud; map; timeline; historical/geographical-visual; map/atlas,https://diksha.gov.in/search?query=NCERT+Class+7+Social+Science+The+Story+of+Indian+Farming,https://www.youtube.com/results?search_query=Class+7+Social+Science+The+Story+of+Indian+Farming+explanation,https://ncert.nic.in/textbook.php,,
7,Social Science,202,India and Her Neighbours,video; image; document/reading; quiz; worksheet; audio/read-aloud; map; timeline; historical/geographical-visual; map/atlas,https://diksha.gov.in/search?query=NCERT+Class+7+Social+Science+India+and+Her+Neighbours,https://www.youtube.com/results?search_query=Class+7+Social+Science+India+and+Her+Neighbours+explanation,https://ncert.nic.in/textbook.php,,
7,Social Science,203,Empires and Kingdoms: 6th to 10th Centuries,video; image; document/reading; quiz; worksheet; audio/read-aloud; map; timeline; historical/geographical-visual,https://diksha.gov.in/search?query=NCERT+Class+7+Social+Science+Empires+and+Kingdoms%3A+6th+to+10th+Centuries,https://www.youtube.com/results?search_query=Class+7+Social+Science+Empires+and+Kingdoms%3A+6th+to+10th+Centuries+explanation,https://ncert.nic.in/textbook.php,,
7,Social Science,204,Turning Tides: 11th and 12th Centuries,video; image; document/reading; quiz; worksheet; audio/read-aloud; map; timeline; historical/geographical-visual,https://diksha.gov.in/search?query=NCERT+Class+7+Social+Science+Turning+Tides%3A+11th+and+12th+Centuries,https://www.youtube.com/results?search_query=Class+7+Social+Science+Turning+Tides%3A+11th+and+12th+Centuries+explanation,https://ncert.nic.in/textbook.php,,
7,Social Science,205,"India, a Home to Many",video; image; document/reading; quiz; worksheet; audio/read-aloud; map; timeline; historical/geographical-visual; map/atlas,https://diksha.gov.in/search?query=NCERT+Class+7+Social+Science+India%2C+a+Home+to+Many,https://www.youtube.com/results?search_query=Class+7+Social+Science+India%2C+a+Home+to+Many+explanation,https://ncert.nic.in/textbook.php,,
7,Social Science,206,"The State, the Government, and You",video; image; document/reading; quiz; worksheet; audio/read-aloud; map; timeline; historical/geographical-visual,https://diksha.gov.in/search?query=NCERT+Class+7+Social+Science+The+State%2C+the+Government%2C+and+You,https://www.youtube.com/results?search_query=Class+7+Social+Science+The+State%2C+the+Government%2C+and+You+explanation,https://ncert.nic.in/textbook.php,,
7,Social Science,207,Infrastructure: Engine of India’s Development,video; image; document/reading; quiz; worksheet; audio/read-aloud; map; timeline; historical/geographical-visual; map/atlas,https://diksha.gov.in/search?query=NCERT+Class+7+Social+Science+Infrastructure%3A+Engine+of+India%E2%80%99s+Development,https://www.youtube.com/results?search_query=Class+7+Social+Science+Infrastructure%3A+Engine+of+India%E2%80%99s+Development+explanation,https://ncert.nic.in/textbook.php,,
7,Social Science,208,Banks and the Magic of Finance,video; image; document/reading; quiz; worksheet; audio/read-aloud; map; timeline; historical/geographical-visual,https://diksha.gov.in/search?query=NCERT+Class+7+Social+Science+Banks+and+the+Magic+of+Finance,https://www.youtube.com/results?search_query=Class+7+Social+Science+Banks+and+the+Magic+of+Finance+explanation,https://ncert.nic.in/textbook.php,,
